bin_start_s,bin_end_s,trips_completed,coal_moved_kg,avg_speed_kmh,pct_moving,pct_loading,pct_unloading,pct_travelling,trucks_active,total_fuel_L,total_co2_kg,throughput_trips_per_hr
3660.0,3720.0,2,2000.0,4.21,49.4,0.0,3.8,92.3,3,0.1454,0.3897,120.0
3720.0,3780.0,0,0.0,4.83,34.0,0.0,0.0,100.0,3,0.1496,0.401025,0
3780.0,3840.0,0,0.0,6.07,33.3,0.0,0.0,100.0,3,0.1276,0.341949,0
3840.0,3900.0,0,0.0,3.19,32.1,1.9,0.0,94.4,3,0.1289,0.345374,0
3900.0,3960.0,0,0.0,5.08,33.3,0.0,0.0,100.0,3,0.1345,0.360418,0
3960.0,4020.0,0,0.0,4.31,32.1,0.0,0.0,100.0,3,0.1422,0.380977,0
4020.0,4080.0,1,1000.0,2.83,32.1,0.0,1.9,94.2,3,0.1306,0.349932,60.0
4080.0,4140.0,0,0.0,6.87,33.3,0.0,0.0,100.0,3,0.1386,0.371522,0
4140.0,4200.0,0,0.0,3.62,32.1,1.9,0.0,94.3,3,0.1241,0.332692,0
4200.0,4260.0,0,0.0,4.37,33.3,0.0,0.0,100.0,3,0.1323,0.354605,0
4260.0,4320.0,0,0.0,5.53,33.3,0.0,0.0,100.0,3,0.1334,0.357576,0
4320.0,4380.0,1,1000.0,2.94,32.1,0.0,1.3,94.9,3,0.1357,0.363774,60.0
4380.0,4440.0,0,0.0,6.31,33.3,0.0,0.0,100.0,3,0.1394,0.373497,0
4440.0,4500.0,0,0.0,4.4,32.1,1.9,0.0,96.2,3,0.1318,0.353163,0
4500.0,4560.0,0,0.0,4.03,32.7,0.0,0.0,98.7,3,0.1308,0.350606,0
4560.0,4620.0,0,0.0,5.7,33.3,0.0,0.0,100.0,3,0.1429,0.382953,0
4620.0,4680.0,1,1000.0,2.57,32.1,0.0,1.9,94.2,3,0.1346,0.360729,60.0
4680.0,4740.0,0,0.0,4.65,29.6,0.0,0.0,100.0,3,0.1354,0.362996,0
4740.0,4800.0,0,0.0,6.12,33.3,0.0,0.0,100.0,3,0.1365,0.365733,0
4800.0,4860.0,0,0.0,3.19,31.4,1.9,0.0,94.2,3,0.13,0.348287,0
