trip_id,run_id,session_key,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
142,9,20260702_123207,2,1,load_zone_22,dump_zone_22,,67782.352,67785.435,67790.935,67850.269,67853.352,,3.08,59.33,3.08,217.42,1000.0,0.6981,1.870957
143,9,20260702_123207,1,1,load_zone_22,dump_zone_23,,67813.269,67816.352,67817.019,67858.102,67861.185,,3.08,41.08,3.08,225.25,1000.0,0.7255,1.944223
144,9,20260702_123207,3,1,load_zone_26,dump_zone_3,,67757.602,67760.685,67765.185,67892.852,67895.935,,3.08,127.67,3.08,260.0,1000.0,0.8477,2.271743
145,9,20260702_123207,2,2,load_zone_22,dump_zone_23,67854.019,67902.602,67905.685,67906.102,67948.019,67951.102,48.58,3.08,41.92,3.08,97.75,1000.0,0.3161,0.847153
146,9,20260702_123207,1,2,load_zone_22,dump_zone_22,67865.685,67900.769,67903.852,67909.352,67978.352,67981.435,35.08,3.08,69.0,3.08,120.25,1000.0,0.3852,1.032378
147,9,20260702_123207,2,3,load_zone_22,dump_zone_22,67954.019,67994.935,67998.019,67998.435,68063.519,68066.602,40.92,3.08,65.08,3.08,115.5,1000.0,0.3709,0.993972
148,9,20260702_123207,1,3,load_zone_22,dump_zone_23,67982.435,68026.519,68029.602,68034.852,68077.602,68080.685,44.08,3.08,42.75,3.08,99.25,1000.0,0.3205,0.858887
149,9,20260702_123207,3,2,load_zone_26,dump_zone_3,67901.685,68004.019,68007.102,68012.519,68137.185,68140.269,102.33,3.08,124.67,3.08,244.33,1000.0,0.7965,2.134457
150,9,20260702_123207,1,4,load_zone_22,dump_zone_23,68085.185,68119.602,68122.685,68128.102,68180.019,68183.102,34.42,3.08,51.92,3.08,102.42,1000.0,0.3318,0.889096
151,9,20260702_123207,1,5,load_zone_22,dump_zone_23,68188.269,68225.852,68228.935,68234.435,68277.602,68280.685,37.58,3.08,43.17,3.08,97.58,1000.0,0.3155,0.845472
152,9,20260702_123207,1,6,load_zone_22,dump_zone_23,68284.352,68320.602,68323.685,68329.185,68376.602,68379.685,36.25,3.08,47.42,3.08,99.0,1000.0,0.3211,0.860615
153,9,20260702_123207,2,4,load_zone_22,dump_zone_22,68067.685,68112.269,68115.352,68120.935,68376.602,68379.685,44.58,3.08,255.67,3.08,313.08,1000.0,0.9638,2.583028
154,9,20260702_123207,3,3,load_zone_26,dump_zone_3,68145.102,68247.519,68250.602,68256.019,68382.269,68385.352,102.42,3.08,126.25,3.08,245.08,1000.0,0.7994,2.142281
155,9,20260702_123207,2,5,load_zone_23,dump_zone_23,68384.685,68441.685,68444.769,68451.019,68491.519,68494.602,57.0,3.08,40.5,3.08,114.92,1000.0,0.3726,0.998659
156,9,20260702_123207,1,7,load_zone_23,dump_zone_22,68385.019,68436.352,68439.435,68445.519,68506.519,68509.602,51.33,3.08,61.0,3.08,129.92,1000.0,0.4203,1.126311
157,9,20260702_123207,3,4,load_zone_26,dump_zone_3,68390.019,68489.435,68492.519,68497.852,68622.102,68625.185,99.42,3.08,124.25,3.08,239.83,1000.0,0.7826,2.097444
158,9,20260702_123207,2,6,load_zone_23,dump_zone_23,68499.519,68571.852,68574.935,68575.019,68631.769,68634.852,72.33,3.08,56.75,3.08,140.25,1000.0,0.4511,1.208866
159,9,20260702_123207,1,8,load_zone_23,dump_zone_22,68510.352,68569.019,68572.102,68572.602,68634.769,68637.852,58.67,3.08,62.17,3.08,128.25,1000.0,0.4127,1.106168
160,9,20260702_123207,1,9,load_zone_23,dump_zone_22,68643.019,68691.769,68694.852,68698.352,68743.435,68746.519,48.75,3.08,45.08,3.08,108.67,1000.0,0.3541,0.949085
161,9,20260702_123207,2,7,load_zone_23,dump_zone_23,68637.435,68698.435,68701.519,68707.602,68748.102,68751.185,61.0,3.08,40.5,3.08,116.33,1000.0,0.376,1.00778
162,9,20260702_123207,2,8,load_zone_23,dump_zone_23,68755.185,68805.435,68808.519,68814.769,68855.602,68858.685,50.25,3.08,40.83,3.08,107.5,1000.0,0.3478,0.932073
163,9,20260702_123207,1,10,load_zone_23,dump_zone_22,68747.519,68791.352,68794.435,68799.185,68863.102,68866.185,43.83,3.08,63.92,3.08,119.67,1000.0,0.3884,1.040837
164,9,20260702_123207,3,5,load_zone_26,dump_zone_3,68630.935,68730.769,68733.852,68739.185,68866.519,68869.602,99.83,3.08,127.33,3.08,244.42,1000.0,0.7962,2.133736
165,9,20260702_123207,1,11,load_zone_23,dump_zone_23,68866.852,68909.769,68912.852,68918.102,68958.269,68961.352,42.92,3.08,40.17,3.08,95.17,1000.0,0.3101,0.831088
166,9,20260702_123207,2,9,load_zone_23,dump_zone_22,68862.602,68902.519,68905.602,68911.685,68964.852,68967.935,39.92,3.08,53.17,3.08,109.25,1000.0,0.3538,0.948232
167,9,20260702_123207,3,6,load_zone_26,dump_zone_3,68875.352,68977.102,68980.185,68985.519,69112.269,69115.352,101.75,3.08,126.75,3.08,245.75,1000.0,0.8006,2.145439
168,9,20260702_123207,3,7,load_zone_26,dump_zone_3,69120.435,69224.519,69227.602,69232.102,69357.019,69360.102,104.08,3.08,124.92,3.08,244.75,1000.0,0.7982,2.139154
169,10,20260702_123755,3,1,load_zone_22,dump_zone_22,,69615.185,69618.269,69623.769,69672.269,69675.352,,3.08,48.5,3.08,99.42,1000.0,0.3219,0.862723
170,10,20260702_123755,1,1,load_zone_26,dump_zone_3,,69680.685,69683.769,69688.269,69813.935,69817.019,,3.08,125.67,3.08,241.08,1000.0,0.7893,2.11543
171,10,20260702_123755,2,1,load_zone_26,dump_zone_3,,69707.102,69710.185,69715.602,69843.269,69846.352,,3.08,127.67,3.08,270.42,1000.0,0.8826,2.365477
172,10,20260702_123755,1,2,load_zone_26,dump_zone_3,69821.852,69926.019,69929.102,69934.102,70060.185,70063.269,104.17,3.08,126.08,3.08,246.25,1000.0,0.8013,2.147497
173,10,20260702_123755,2,2,load_zone_26,dump_zone_3,69851.019,69951.769,69954.852,69960.269,70087.519,70090.602,100.75,3.08,127.25,3.08,244.25,1000.0,0.796,2.133361
174,10,20260702_123755,1,3,load_zone_26,dump_zone_3,70068.935,70169.852,70172.935,70178.435,70305.269,70308.352,100.92,3.08,126.83,3.08,245.08,1000.0,0.798,2.138686
175,10,20260702_123755,2,3,load_zone_26,dump_zone_3,70095.935,70333.102,70336.185,70340.602,70464.685,70467.769,237.17,3.08,124.08,3.08,377.17,1000.0,1.216,3.258968
176,10,20260702_123755,1,4,load_zone_26,dump_zone_3,70313.019,70417.519,70420.602,70425.935,70552.435,70555.519,104.5,3.08,126.5,3.08,247.17,1000.0,0.8054,2.158396
177,10,20260702_123755,2,4,load_zone_26,dump_zone_3,70472.519,70571.519,70574.602,70580.519,70707.519,70710.602,99.0,3.08,127.0,3.08,242.83,1000.0,0.7925,2.123796
178,10,20260702_123755,1,5,load_zone_26,dump_zone_3,70560.352,70664.685,70667.769,70672.519,70797.935,70801.019,104.33,3.08,125.42,3.08,245.5,1000.0,0.8007,2.1458
179,10,20260702_123755,2,5,load_zone_26,dump_zone_3,70715.269,70814.435,70817.519,70822.102,70945.935,70949.019,99.17,3.08,123.83,3.08,238.42,1000.0,0.7793,2.088398
180,10,20260702_123755,1,6,load_zone_26,load_zone_29,70806.269,70908.852,70911.935,70917.685,70995.352,70998.435,102.58,3.08,77.67,3.08,197.42,0.0,0.6311,1.691415
181,10,20260702_123755,1,7,load_zone_29,dump_zone_3,71003.102,71070.769,71073.852,71078.435,71212.852,71215.935,67.67,3.08,134.42,3.08,217.5,1000.0,0.7161,1.919004
182,10,20260702_123755,2,6,load_zone_25,dump_zone_3,70954.769,71080.602,71083.685,71089.019,71242.352,71245.435,125.83,3.08,153.33,3.08,296.42,1000.0,0.9666,2.590385
