sim_time_s,zone,trucks_queued,truck_ids,event_type
67381.602,dump_zone_3,3,3+1+2,ARRIVE_DUMP_ZONE
67388.435,load_zone_1,2,3+1,ARRIVE_LOAD_ZONE
67454.269,dump_zone_1,3,2+1+3,ARRIVE_DUMP_ZONE
67475.685,dump_zone_2,2,3+1,ARRIVE_DUMP_ZONE
67491.352,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
67566.519,load_zone_1,2,3+1,ARRIVE_LOAD_ZONE
67757.602,load_zone_26,3,3+2+3,ARRIVE_LOAD_ZONE
67782.352,load_zone_22,4,2+1+3+2,ARRIVE_LOAD_ZONE
67813.269,load_zone_22,5,2+1+3+2+1,ARRIVE_LOAD_ZONE
67850.269,dump_zone_22,3,3+1+2,ARRIVE_DUMP_ZONE
67858.102,dump_zone_23,2,3+1,ARRIVE_DUMP_ZONE
67892.852,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
67900.769,load_zone_22,2,3+1,ARRIVE_LOAD_ZONE
67902.602,load_zone_22,3,3+1+2,ARRIVE_LOAD_ZONE
67948.019,dump_zone_23,3,3+1+2,ARRIVE_DUMP_ZONE
67978.352,dump_zone_22,3,3+2+1,ARRIVE_DUMP_ZONE
67994.935,load_zone_22,2,3+2,ARRIVE_LOAD_ZONE
68004.019,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
68026.519,load_zone_22,3,3+2+1,ARRIVE_LOAD_ZONE
68063.519,dump_zone_22,3,3+1+2,ARRIVE_DUMP_ZONE
68077.602,dump_zone_23,3,3+2+1,ARRIVE_DUMP_ZONE
68112.269,load_zone_22,2,3+2,ARRIVE_LOAD_ZONE
68119.602,load_zone_22,3,3+2+1,ARRIVE_LOAD_ZONE
68137.185,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
68180.019,dump_zone_23,3,3+2+1,ARRIVE_DUMP_ZONE
68225.852,load_zone_22,3,3+2+1,ARRIVE_LOAD_ZONE
68247.519,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
68277.602,dump_zone_23,3,3+2+1,ARRIVE_DUMP_ZONE
68320.602,load_zone_22,3,3+2+1,ARRIVE_LOAD_ZONE
68376.602,dump_zone_23,3,3+2+1,ARRIVE_DUMP_ZONE
68376.602,dump_zone_22,3,3+1+2,ARRIVE_DUMP_ZONE
68382.269,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
68436.352,load_zone_23,2,3+1,ARRIVE_LOAD_ZONE
68441.685,load_zone_23,3,3+1+2,ARRIVE_LOAD_ZONE
68489.435,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
68491.519,dump_zone_23,3,3+1+2,ARRIVE_DUMP_ZONE
68506.519,dump_zone_22,3,3+2+1,ARRIVE_DUMP_ZONE
68569.019,load_zone_23,2,3+1,ARRIVE_LOAD_ZONE
68571.852,load_zone_23,3,3+1+2,ARRIVE_LOAD_ZONE
68622.102,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
68631.769,dump_zone_23,3,3+1+2,ARRIVE_DUMP_ZONE
68634.769,dump_zone_22,3,3+2+1,ARRIVE_DUMP_ZONE
68691.769,load_zone_23,2,3+1,ARRIVE_LOAD_ZONE
68698.435,load_zone_23,3,3+1+2,ARRIVE_LOAD_ZONE
68730.769,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
68743.435,dump_zone_22,3,3+2+1,ARRIVE_DUMP_ZONE
68748.102,dump_zone_23,3,3+1+2,ARRIVE_DUMP_ZONE
68791.352,load_zone_23,2,3+1,ARRIVE_LOAD_ZONE
68805.435,load_zone_23,3,3+1+2,ARRIVE_LOAD_ZONE
68855.602,dump_zone_23,3,3+1+2,ARRIVE_DUMP_ZONE
68863.102,dump_zone_22,3,3+2+1,ARRIVE_DUMP_ZONE
68866.519,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
68902.519,load_zone_23,2,3+2,ARRIVE_LOAD_ZONE
68909.769,load_zone_23,3,3+2+1,ARRIVE_LOAD_ZONE
68958.269,dump_zone_23,3,3+2+1,ARRIVE_DUMP_ZONE
68964.852,dump_zone_22,3,3+1+2,ARRIVE_DUMP_ZONE
68977.102,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
69068.935,load_zone_1,2,3+1,ARRIVE_LOAD_ZONE
69070.852,load_zone_1,3,3+1+2,ARRIVE_LOAD_ZONE
69112.269,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
69224.519,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
69357.019,dump_zone_3,2,1+3,ARRIVE_DUMP_ZONE
69467.602,load_zone_26,2,2+3,ARRIVE_LOAD_ZONE
69615.185,load_zone_22,4,3+2+1+3,ARRIVE_LOAD_ZONE
69672.269,dump_zone_22,3,1+2+3,ARRIVE_DUMP_ZONE
69680.685,load_zone_26,3,2+3+1,ARRIVE_LOAD_ZONE
69707.102,load_zone_26,4,2+3+1+2,ARRIVE_LOAD_ZONE
69719.769,load_zone_22,3,2+1+3,ARRIVE_LOAD_ZONE
69843.269,dump_zone_3,2,1+2,ARRIVE_DUMP_ZONE
69926.019,load_zone_26,2,3+1,ARRIVE_LOAD_ZONE
69951.769,load_zone_26,3,3+1+2,ARRIVE_LOAD_ZONE
70087.519,dump_zone_3,2,1+2,ARRIVE_DUMP_ZONE
70169.852,load_zone_26,2,3+1,ARRIVE_LOAD_ZONE
70305.269,dump_zone_3,2,2+1,ARRIVE_DUMP_ZONE
70333.102,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
70417.519,load_zone_26,3,3+2+1,ARRIVE_LOAD_ZONE
70552.435,dump_zone_3,2,2+1,ARRIVE_DUMP_ZONE
70571.519,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
70664.685,load_zone_26,3,3+2+1,ARRIVE_LOAD_ZONE
70797.935,dump_zone_3,2,2+1,ARRIVE_DUMP_ZONE
70814.435,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
70908.852,load_zone_26,3,3+2+1,ARRIVE_LOAD_ZONE
70945.935,dump_zone_3,2,1+2,ARRIVE_DUMP_ZONE
70995.352,load_zone_29,2,3+1,ARRIVE_DUMP_ZONE
71070.769,load_zone_29,2,3+1,ARRIVE_LOAD_ZONE
71242.352,dump_zone_3,2,1+2,ARRIVE_DUMP_ZONE
71327.435,load_zone_29,2,3+1,ARRIVE_LOAD_ZONE
