truck_id,idle_start_s,idle_end_s,duration_s,op_state,x_m,y_m
2,9406.387,9411.222,4.83,GOING_TO_ENDPOINT,599.44,198.7
3,9483.057,9485.362,2.3,LOADING,502.6,-190.16
3,9647.202,9649.417,2.22,UNLOADING,652.5,180.09
3,9966.092,9968.157,2.06,UNLOADING,652.5,180.56
3,10110.877,10113.087,2.21,LOADING,502.49,-190.16
3,10277.557,10279.762,2.2,UNLOADING,652.5,180.19
2,10280.912,10283.092,2.18,LOADING,502.67,-190.69
3,10316.432,10320.917,4.48,GOING_TO_ENDPOINT,600.31,198.54
2,10486.017,10488.562,2.55,GOING_TO_ENDPOINT,600.04,198.55
2,10597.047,10599.517,2.47,LOADING,502.59,-190.3
3,10749.292,10751.432,2.14,LOADING,502.8,-190.72
2,10806.617,10813.747,7.13,GOING_TO_ENDPOINT,599.93,198.69
2,10927.992,10930.232,2.24,LOADING,503.0,-192.17
3,10957.902,10964.762,6.86,GOING_TO_ENDPOINT,600.0,198.6
3,11075.807,11078.147,2.34,LOADING,502.59,-190.28
2,11246.222,11248.407,2.18,LOADING,452.54,-190.17
3,11129.257,11304.417,175.16,RETURNING_TO_START,548.66,-100.19
2,11417.832,11420.067,2.23,UNLOADING,652.54,179.74
2,11770.652,11793.067,22.41,GOING_TO_ENDPOINT,599.17,198.79
2,11906.692,11908.972,2.28,LOADING,452.64,-190.26
3,11305.552,11968.962,663.41,RETURNING_TO_START,548.76,-99.99
3,11970.027,11978.757,8.73,RETURNING_TO_START,548.87,-99.8
2,11973.852,11985.112,11.26,RETURNING_TO_START,550.31,-95.0
1,3212.647,62656.852,59444.21,RETURNING_TO_START,-101.32,449.77
2,11990.757,62656.852,50666.1,RETURNING_TO_START,546.43,-89.21
3,11987.662,62656.852,50669.19,RETURNING_TO_START,549.38,-98.35
2,62806.852,62808.852,2.0,LOADING,-170.4,395.43
2,62844.852,62853.852,9.0,RETURNING_TO_START,-101.39,450.84
3,62877.852,62879.852,2.0,UNLOADING,-102.02,520.76
2,62925.852,62927.852,2.0,LOADING,-171.08,393.92
2,62960.852,62973.852,13.0,RETURNING_TO_START,-94.21,454.59
3,62966.852,62979.852,13.0,RETURNING_TO_START,-87.46,457.21
2,62978.852,62987.852,9.0,RETURNING_TO_START,-90.58,455.59
1,63032.852,63034.852,2.0,LOADING,702.67,-190.95
2,63088.852,63108.852,20.0,RETURNING_TO_START,-101.14,451.01
3,63200.852,63210.852,10.0,RETURNING_TO_START,-101.13,451.29
1,63441.852,63443.852,2.0,LOADING,703.38,-194.9
3,63473.852,63475.852,2.0,LOADING,-172.25,394.73
3,63588.852,63590.852,2.0,LOADING,-166.99,402.75
2,63593.852,63596.852,3.0,RETURNING_TO_START,-167.94,400.5
3,63677.852,63679.852,2.0,LOADING,-170.36,395.42
3,63715.852,63728.852,13.0,RETURNING_TO_START,-101.23,450.42
1,64174.852,64176.852,2.0,LOADING,702.8,-190.93
1,64417.852,64419.852,2.0,LOADING,702.42,-196.73
1,64797.852,64799.852,2.0,UNLOADING,653.02,178.36
2,63738.852,65176.852,1438.0,RETURNING_TO_START,-107.89,451.94
3,63733.852,65176.852,1443.0,RETURNING_TO_START,-100.24,453.62
1,65216.852,65222.852,6.0,GOING_TO_ENDPOINT,-166.1,393.55
3,65248.852,65253.852,5.0,RETURNING_TO_START,-101.33,450.63
1,65278.852,65280.852,2.0,UNLOADING,-101.49,521.03
2,65306.852,65308.852,2.0,LOADING,703.45,-194.57
1,65357.852,65364.852,7.0,RETURNING_TO_START,-101.36,451.18
3,65388.852,65390.852,2.0,UNLOADING,-97.38,523.97
1,65395.852,65397.852,2.0,UNLOADING,-167.51,454.5
3,65433.852,65435.852,2.0,LOADING,-169.6,403.25
3,65466.852,65468.852,2.0,RETURNING_TO_START,-101.49,450.97
1,65494.852,65496.852,2.0,UNLOADING,-101.12,521.6
3,65540.852,65542.852,2.0,LOADING,-170.51,395.5
