sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
2.057,2026-05-23T12:59:18.489,1,650.069,315.769,7.405,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.006878,0.018433
2.057,2026-05-23T12:59:18.489,2,250.243,735.776,7.405,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.006878,0.018433
2.057,2026-05-23T12:59:18.489,3,150.611,785.813,7.405,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.006878,0.018433
3.077,2026-05-23T12:59:19.319,1,650.874,313.341,10.72,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000308,0.000825
3.077,2026-05-23T12:59:19.319,2,250.947,733.211,11.077,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000309,0.000828
3.077,2026-05-23T12:59:19.319,3,151.812,783.578,10.72,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000308,0.000825
4.138,2026-05-23T12:59:20.379,1,652.181,309.923,13.481,0.263,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000243,0.000651
4.138,2026-05-23T12:59:20.379,2,251.943,729.484,14.897,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000277,0.000742
4.138,2026-05-23T12:59:20.379,3,154.612,781.106,14.336,0.692,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000262,0.000702
5.227,2026-05-23T12:59:21.468,1,652.527,305.947,12.481,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00027,0.000724
5.227,2026-05-23T12:59:21.468,2,252.45,724.382,18.781,0.893,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000341,0.000914
5.227,2026-05-23T12:59:21.468,3,156.035,776.903,14.793,-0.397,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.00027,0.000724
6.282,2026-05-23T12:59:22.524,1,652.514,302.584,10.582,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000261,0.000699
6.282,2026-05-23T12:59:22.524,2,252.507,718.585,20.052,-0.162,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000263,0.000705
6.282,2026-05-23T12:59:22.524,3,155.228,772.969,12.907,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000261,0.000699
7.712,2026-05-23T12:59:24.031,1,651.95,299.376,8.008,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.003924,0.010516
7.712,2026-05-23T12:59:24.031,2,252.486,711.519,17.584,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.003924,0.010516
7.712,2026-05-23T12:59:24.031,3,152.397,769.923,10.333,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.003924,0.010516
8.767,2026-05-23T12:59:25.009,1,651.032,297.43,7.447,0.145,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00027,0.000724
8.767,2026-05-23T12:59:25.009,2,252.498,706.662,15.685,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000261,0.000699
8.767,2026-05-23T12:59:25.009,3,150.426,767.853,9.839,0.351,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000279,0.000748
9.772,2026-05-23T12:59:26.082,1,649.441,296.306,6.308,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,5.1e-05,0.000137
9.772,2026-05-23T12:59:26.082,2,252.497,702.551,13.876,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,5.1e-05,0.000137
9.772,2026-05-23T12:59:26.082,3,147.998,765.892,12.778,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,6.1e-05,0.000163
10.799,2026-05-23T12:59:27.041,1,647.888,296.017,5.092,-0.0633,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000163,0.000437
10.799,2026-05-23T12:59:27.041,2,252.352,698.876,12.028,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000162,0.000434
10.799,2026-05-23T12:59:27.041,3,144.331,763.844,16.475,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000203,0.000544
11.81,2026-05-23T12:59:28.051,1,646.304,296.173,6.798,0.9477,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,5.3e-05,0.000142
11.81,2026-05-23T12:59:28.051,2,251.851,695.771,10.535,-0.279,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,4.8e-05,0.000129
11.81,2026-05-23T12:59:28.051,3,139.62,761.727,20.115,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,6.3e-05,0.000169
12.876,2026-05-23T12:59:29.117,1,643.785,296.846,10.633,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000321,0.00086
12.876,2026-05-23T12:59:29.117,2,250.89,692.754,11.241,0.365,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000299,0.000801
12.876,2026-05-23T12:59:29.117,3,133.543,759.28,23.952,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000378,0.001013
13.884,2026-05-23T12:59:30.200,1,640.386,297.753,14.262,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,5.9e-05,0.000158
13.884,2026-05-23T12:59:30.200,2,249.457,689.63,13.061,0.2472,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,5.2e-05,0.000139
13.884,2026-05-23T12:59:30.200,3,126.816,756.754,26.813,0.4093,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,5.8e-05,0.000155
14.914,2026-05-23T12:59:31.156,1,635.833,298.661,17.97,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00023,0.000616
14.914,2026-05-23T12:59:31.156,2,247.501,686.32,13.798,0.2452,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000194,0.00052
14.914,2026-05-23T12:59:31.156,3,119.573,754.184,26.352,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.00018,0.000482
15.997,2026-05-23T12:59:32.312,1,629.949,299.543,20.84,0.283,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000339,0.000909
15.997,2026-05-23T12:59:32.312,2,244.993,682.801,14.74,0.3027,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000329,0.000882
15.997,2026-05-23T12:59:32.312,3,112.374,751.708,24.402,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.0003,0.000804
17.086,2026-05-23T12:59:33.399,1,623.767,300.374,19.906,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000309,0.000828
17.086,2026-05-23T12:59:33.399,2,241.93,679.087,17.144,0.5505,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00036,0.000965
17.086,2026-05-23T12:59:33.399,3,105.689,749.41,22.442,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000309,0.000828
