sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
33.833,2026-07-02T12:17:28.509,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,10000.0,
36.917,2026-07-02T12:17:35.253,LOAD_COMPLETE,3,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1194
42.417,2026-07-02T12:17:43.629,DEPART_LOAD_ZONE,3,dump_zone_22,1000.0,unlimited,session_fuel_L=0.1364|session_co2_kg=0.36556
49.833,2026-07-02T12:17:56.279,ARRIVE_LOAD_ZONE,1,load_zone_22,0.0,9000.0,
52.917,2026-07-02T12:18:01.914,LOAD_COMPLETE,1,dump_zone_23,1000.0,unlimited,trip_fuel_so_far_L=0.1677
58.583,2026-07-02T12:18:08.788,DEPART_LOAD_ZONE,1,dump_zone_23,1000.0,unlimited,session_fuel_L=0.1852|session_co2_kg=0.496225
101.333,2026-07-02T12:19:26.955,ARRIVE_DUMP_ZONE,1,dump_zone_23,1000.0,unlimited,
104.417,2026-07-02T12:19:30.235,UNLOAD_COMPLETE,1,load_zone_22,0.0,8000.0,trip_id=1|trip_duration_s=104.33|trip_fuel_L=0.3361|trip_co2_kg=0.900618
107.667,2026-07-02T12:19:31.939,ARRIVE_DUMP_ZONE,3,dump_zone_22,1000.0,unlimited,
109.25,2026-07-02T12:19:32.743,DEPART_DUMP_ZONE,1,load_zone_22,0.0,8000.0,session_fuel_L=0.3508|session_co2_kg=0.940119
110.75,2026-07-02T12:19:34.844,UNLOAD_COMPLETE,3,load_zone_22,0.0,8000.0,trip_id=1|trip_duration_s=110.67|trip_fuel_L=0.3564|trip_co2_kg=0.955203
111.833,2026-07-02T12:19:35.747,DEPART_DUMP_ZONE,3,load_zone_22,0.0,8000.0,session_fuel_L=0.3597|session_co2_kg=0.964069
129.333,2026-07-02T12:20:28.274,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,10000.0,
132.417,2026-07-02T12:20:33.593,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.4299
137.0,2026-07-02T12:20:38.381,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=0.444|session_co2_kg=1.189895
144.75,2026-07-02T12:20:50.360,ARRIVE_LOAD_ZONE,1,load_zone_22,0.0,8000.0,
147.833,2026-07-02T12:20:54.310,LOAD_COMPLETE,1,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1395
152.583,2026-07-02T12:21:00.220,DEPART_LOAD_ZONE,1,dump_zone_22,1000.0,unlimited,session_fuel_L=0.4903|session_co2_kg=1.313863
156.583,2026-07-02T12:23:02.162,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,7000.0,
