sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
1.0,2026-07-02T12:32:09.400,1,150.028,789.791,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000258,0.000691
1.0,2026-07-02T12:32:09.400,2,250.002,739.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000258,0.000691
1.0,2026-07-02T12:32:09.400,3,650.002,319.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000258,0.000691
2.0,2026-07-02T12:32:10.832,1,150.351,788.761,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000271,0.000726
2.0,2026-07-02T12:32:10.832,2,250.113,738.713,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000271,0.000726
2.0,2026-07-02T12:32:10.832,3,650.156,318.72,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000271,0.000726
3.0,2026-07-02T12:32:13.244,1,151.624,787.126,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000285,0.000764
3.0,2026-07-02T12:32:13.244,2,250.624,736.695,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000285,0.000764
3.0,2026-07-02T12:32:13.244,3,650.87,316.766,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000285,0.000764
4.0,2026-07-02T12:32:15.530,1,153.722,784.87,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000299,0.000801
4.0,2026-07-02T12:32:15.530,2,251.484,733.734,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000299,0.000801
4.0,2026-07-02T12:32:15.530,3,651.99,313.904,12.6,0.75,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000289,0.000775
5.0,2026-07-02T12:32:17.521,1,155.545,781.425,14.7,0.0833,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.000263,0.000705
5.0,2026-07-02T12:32:17.521,2,252.231,729.723,16.35,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000313,0.000839
5.0,2026-07-02T12:32:17.521,3,652.48,310.248,13.35,-0.25,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
6.0,2026-07-02T12:32:19.640,1,156.139,777.548,13.425,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.00025,0.00067
6.0,2026-07-02T12:32:19.640,2,252.494,724.697,19.25,0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000288,0.000772
6.0,2026-07-02T12:32:19.640,3,652.525,306.791,11.625,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
7.0,2026-07-02T12:32:21.821,1,155.654,774.135,11.625,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_16,load_zone_22,0.00025,0.00067
