sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
126.782,2026-07-08T12:52:21.962,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,10000.0,
130.107,2026-07-08T12:52:25.365,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.4221
132.217,2026-07-08T12:52:27.245,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,9000.0,
135.402,2026-07-08T12:52:30.431,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.437
135.819,2026-07-08T12:52:30.894,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=0.4397|session_co2_kg=1.178358
141.265,2026-07-08T12:52:36.552,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=0.4551|session_co2_kg=1.219612
164.261,2026-07-08T12:52:59.397,ARRIVE_LOAD_ZONE,3,load_zone_26,0.0,8000.0,
167.589,2026-07-08T12:53:02.849,LOAD_COMPLETE,3,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.5374
174.087,2026-07-08T12:53:09.447,DEPART_LOAD_ZONE,3,dump_zone_3,1000.0,unlimited,session_fuel_L=0.5574|session_co2_kg=1.49381
293.706,2026-07-08T12:55:08.931,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
297.0,2026-07-08T12:55:12.212,UNLOAD_COMPLETE,1,load_zone_26,0.0,7000.0,trip_id=1|trip_duration_s=292.29|trip_fuel_L=0.9632|trip_co2_kg=2.581472
303.19,2026-07-08T12:55:18.257,DEPART_DUMP_ZONE,1,load_zone_26,0.0,7000.0,session_fuel_L=0.9821|session_co2_kg=2.632065
317.75,2026-07-08T12:55:32.916,ARRIVE_DUMP_ZONE,3,dump_zone_3,1000.0,unlimited,
321.013,2026-07-08T12:55:36.153,UNLOAD_COMPLETE,3,load_zone_26,0.0,7000.0,trip_id=1|trip_duration_s=316.3|trip_fuel_L=1.0401|trip_co2_kg=2.787336
325.176,2026-07-08T12:55:40.331,DEPART_DUMP_ZONE,3,load_zone_26,0.0,7000.0,session_fuel_L=1.0527|session_co2_kg=2.821361
418.287,2026-07-08T12:57:13.432,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,7000.0,
421.379,2026-07-08T12:57:16.407,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.398
426.181,2026-07-08T12:57:21.250,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=1.376|session_co2_kg=3.687782
