sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
131.75,2026-07-02T11:45:06.421,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,10000.0,
134.833,2026-07-02T11:45:10.818,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.4353
140.417,2026-07-02T11:45:17.503,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=0.4526|session_co2_kg=1.212888
149.0,2026-07-02T11:45:31.153,ARRIVE_LOAD_ZONE,2,load_zone_22,0.0,10000.0,
152.083,2026-07-02T11:45:36.063,LOAD_COMPLETE,2,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.4868
157.667,2026-07-02T11:45:41.577,DEPART_LOAD_ZONE,2,dump_zone_22,1000.0,unlimited,session_fuel_L=0.504|session_co2_kg=1.350817
167.583,2026-07-02T11:46:01.419,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,9000.0,
170.667,2026-07-02T11:46:07.248,LOAD_COMPLETE,3,dump_zone_23,1000.0,unlimited,trip_fuel_so_far_L=0.5472
175.75,2026-07-02T11:46:13.007,DEPART_LOAD_ZONE,3,dump_zone_23,1000.0,unlimited,session_fuel_L=0.5629|session_co2_kg=1.508643
219.167,2026-07-02T11:47:42.108,ARRIVE_DUMP_ZONE,2,dump_zone_22,1000.0,unlimited,
220.0,2026-07-02T11:47:43.715,ARRIVE_DUMP_ZONE,3,dump_zone_23,1000.0,unlimited,
222.25,2026-07-02T11:47:47.085,UNLOAD_COMPLETE,2,load_zone_22,0.0,8000.0,trip_id=1|trip_duration_s=222.17|trip_fuel_L=0.7115|trip_co2_kg=1.906767
223.083,2026-07-02T11:47:48.139,UNLOAD_COMPLETE,3,load_zone_22,0.0,8000.0,trip_id=1|trip_duration_s=223.0|trip_fuel_L=0.7183|trip_co2_kg=1.924928
227.333,2026-07-02T11:47:51.530,DEPART_DUMP_ZONE,2,load_zone_22,0.0,8000.0,session_fuel_L=0.727|session_co2_kg=1.948302
228.417,2026-07-02T11:47:52.882,DEPART_DUMP_ZONE,3,load_zone_22,0.0,8000.0,session_fuel_L=0.7345|session_co2_kg=1.968507
264.833,2026-07-02T11:48:51.512,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,8000.0,
265.417,2026-07-02T11:48:52.512,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
267.917,2026-07-02T11:48:57.977,LOAD_COMPLETE,3,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1434
268.417,2026-07-02T11:48:58.518,ARRIVE_LOAD_ZONE,2,load_zone_22,0.0,7000.0,
