sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
39.333,2026-07-02T12:39:30.388,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,10000.0,
42.417,2026-07-02T12:39:37.985,LOAD_COMPLETE,3,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1362
47.917,2026-07-02T12:39:46.676,DEPART_LOAD_ZONE,3,dump_zone_22,1000.0,unlimited,session_fuel_L=0.1532|session_co2_kg=0.410607
96.417,2026-07-02T12:41:42.144,ARRIVE_DUMP_ZONE,3,dump_zone_22,1000.0,unlimited,
99.5,2026-07-02T12:41:48.217,UNLOAD_COMPLETE,3,load_zone_22,0.0,9000.0,trip_id=1|trip_duration_s=99.42|trip_fuel_L=0.3219|trip_co2_kg=0.862723
104.5,2026-07-02T12:41:55.702,DEPART_DUMP_ZONE,3,load_zone_22,0.0,9000.0,session_fuel_L=0.3372|session_co2_kg=0.90358
104.833,2026-07-02T12:41:56.243,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,10000.0,
107.917,2026-07-02T12:42:03.331,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.35
112.417,2026-07-02T12:42:08.398,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=0.3639|session_co2_kg=0.975218
131.25,2026-07-02T12:42:48.513,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,9000.0,
134.333,2026-07-02T12:42:54.677,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.4341
139.75,2026-07-02T12:50:50.059,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=0.4508|session_co2_kg=1.208047
143.917,2026-07-02T12:51:05.061,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,9000.0,
147.0,2026-07-02T12:51:15.792,LOAD_COMPLETE,3,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1518
152.417,2026-07-02T12:51:25.273,DEPART_LOAD_ZONE,3,dump_zone_22,1000.0,unlimited,session_fuel_L=0.4904|session_co2_kg=1.314333
238.083,2026-07-02T12:55:37.059,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
241.167,2026-07-02T12:55:42.619,UNLOAD_COMPLETE,1,load_zone_26,0.0,8000.0,trip_id=1|trip_duration_s=241.08|trip_fuel_L=0.7893|trip_co2_kg=2.11543
246.0,2026-07-02T12:55:50.701,DEPART_DUMP_ZONE,1,load_zone_26,0.0,8000.0,session_fuel_L=0.8041|session_co2_kg=2.154931
267.417,2026-07-02T13:00:26.795,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
270.5,2026-07-02T13:00:34.290,UNLOAD_COMPLETE,2,load_zone_26,0.0,8000.0,trip_id=1|trip_duration_s=270.42|trip_fuel_L=0.8826|trip_co2_kg=2.365477
275.167,2026-07-02T13:00:39.797,DEPART_DUMP_ZONE,2,load_zone_26,0.0,8000.0,session_fuel_L=0.8969|session_co2_kg=2.403622
350.167,2026-07-02T13:03:14.572,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,8000.0,
353.25,2026-07-02T13:03:19.015,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3593
358.25,2026-07-02T13:03:24.488,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=1.1641|session_co2_kg=3.119651
375.917,2026-07-02T13:04:37.901,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,7000.0,
379.0,2026-07-02T13:04:45.492,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3494
384.417,2026-07-02T13:04:54.445,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=1.2487|session_co2_kg=3.346517
484.333,2026-07-02T13:10:04.718,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
487.417,2026-07-02T13:10:12.836,UNLOAD_COMPLETE,1,load_zone_26,0.0,6000.0,trip_id=2|trip_duration_s=246.25|trip_fuel_L=0.8013|trip_co2_kg=2.147497
493.083,2026-07-02T13:10:24.201,DEPART_DUMP_ZONE,1,load_zone_26,0.0,6000.0,session_fuel_L=1.608|session_co2_kg=4.309238
511.667,2026-07-02T13:11:17.768,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
514.75,2026-07-02T13:11:23.742,UNLOAD_COMPLETE,2,load_zone_26,0.0,6000.0,trip_id=2|trip_duration_s=244.25|trip_fuel_L=0.796|trip_co2_kg=2.133361
520.083,2026-07-02T13:11:31.574,DEPART_DUMP_ZONE,2,load_zone_26,0.0,6000.0,session_fuel_L=1.695|session_co2_kg=4.542417
594.0,2026-07-02T14:52:27.898,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,6000.0,
597.083,2026-07-02T14:52:33.711,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.353
602.583,2026-07-02T14:52:41.004,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=1.9606|session_co2_kg=5.254408
729.417,2026-07-02T15:00:27.789,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
732.5,2026-07-02T15:00:33.347,UNLOAD_COMPLETE,1,load_zone_26,0.0,5000.0,trip_id=3|trip_duration_s=245.08|trip_fuel_L=0.798|trip_co2_kg=2.138686
737.167,2026-07-02T15:00:40.775,DEPART_DUMP_ZONE,1,load_zone_26,0.0,5000.0,session_fuel_L=2.4029|session_co2_kg=6.439758
757.25,2026-07-02T15:01:33.282,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,5000.0,
760.333,2026-07-02T15:01:44.844,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.7806
764.75,2026-07-02T15:01:56.262,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=2.4729|session_co2_kg=6.627293
841.667,2026-07-02T15:07:28.785,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,4000.0,
844.75,2026-07-02T15:07:39.771,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3611
850.083,2026-07-02T15:07:56.724,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=2.7663|session_co2_kg=7.413481
888.833,2026-07-02T15:10:50.676,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
891.917,2026-07-02T15:11:02.323,UNLOAD_COMPLETE,2,load_zone_26,0.0,3000.0,trip_id=3|trip_duration_s=377.17|trip_fuel_L=1.216|trip_co2_kg=3.258968
896.667,2026-07-02T15:11:15.961,DEPART_DUMP_ZONE,2,load_zone_26,0.0,3000.0,session_fuel_L=2.9092|session_co2_kg=7.796629
976.583,2026-07-02T15:17:19.910,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
979.667,2026-07-02T15:17:34.031,UNLOAD_COMPLETE,1,load_zone_26,0.0,3000.0,trip_id=4|trip_duration_s=247.17|trip_fuel_L=0.8054|trip_co2_kg=2.158396
984.5,2026-07-02T15:17:45.072,DEPART_DUMP_ZONE,1,load_zone_26,0.0,3000.0,session_fuel_L=3.2088|session_co2_kg=8.59951
995.667,2026-07-02T15:18:31.216,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,3000.0,
998.75,2026-07-02T15:18:43.201,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3445
1004.667,2026-07-02T15:18:59.862,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=3.2575|session_co2_kg=8.72989
1088.833,2026-07-02T15:25:30.146,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,2000.0,
1091.917,2026-07-02T15:25:44.648,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.361
1096.667,2026-07-02T15:25:55.598,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=3.5698|session_co2_kg=9.566865
1131.667,2026-07-02T15:28:32.510,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
1134.75,2026-07-02T15:28:51.266,UNLOAD_COMPLETE,2,load_zone_26,0.0,1000.0,trip_id=4|trip_duration_s=242.83|trip_fuel_L=0.7925|trip_co2_kg=2.123796
1139.417,2026-07-02T15:29:07.730,DEPART_DUMP_ZONE,2,load_zone_26,0.0,1000.0,session_fuel_L=3.7015|session_co2_kg=9.919747
1222.083,2026-07-02T15:35:49.162,ARRIVE_DUMP_ZONE,1,dump_zone_3,1000.0,unlimited,
1225.167,2026-07-02T15:35:58.913,UNLOAD_COMPLETE,1,load_zone_26,0.0,1000.0,trip_id=5|trip_duration_s=245.5|trip_fuel_L=0.8007|trip_co2_kg=2.1458
1230.417,2026-07-02T15:36:15.008,DEPART_DUMP_ZONE,1,load_zone_26,0.0,1000.0,session_fuel_L=4.0108|session_co2_kg=10.748705
1238.583,2026-07-02T15:36:46.137,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,1000.0,
1241.667,2026-07-02T15:37:01.185,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3453
1246.25,2026-07-02T15:37:12.717,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=4.0467|session_co2_kg=10.844946
1333.0,2026-07-02T15:43:39.285,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,0.0,
1336.083,2026-07-02T15:43:49.966,LOAD_COMPLETE,1,load_zone_29,0.0,10000.0,trip_fuel_so_far_L=0.3567
1341.833,2026-07-02T15:44:07.915,DEPART_LOAD_ZONE,1,load_zone_29,0.0,10000.0,session_fuel_L=4.369|session_co2_kg=11.70882
1370.083,2026-07-02T15:46:16.763,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
