sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
2.029,2026-05-23T13:27:44.230,1,50.23,735.89,7.304,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.006775,0.018157
2.029,2026-05-23T13:27:44.230,2,699.63,134.1,7.304,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.006775,0.018157
2.029,2026-05-23T13:27:44.230,3,49.59,835.904,7.304,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.006775,0.018157
3.098,2026-05-23T13:27:45.247,1,50.854,733.195,11.153,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000285,0.000764
3.098,2026-05-23T13:27:45.247,2,699.119,136.826,11.153,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000285,0.000764
3.098,2026-05-23T13:27:45.247,3,49.443,833.134,11.128,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.000285,0.000764
4.108,2026-05-23T13:27:46.292,1,51.839,729.667,14.789,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,6.3e-05,0.000169
4.108,2026-05-23T13:27:46.292,2,698.511,140.439,14.789,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,6.3e-05,0.000169
4.108,2026-05-23T13:27:46.292,3,49.048,829.637,13.27,0.114,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,5.4e-05,0.000145
5.116,2026-05-23T13:27:47.265,1,52.4,725.035,18.373,0.966,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000222,0.000595
5.116,2026-05-23T13:27:47.265,2,697.944,145.076,18.418,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000224,0.0006
5.116,2026-05-23T13:27:47.265,3,49.023,826.058,12.084,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.000174,0.000466
6.119,2026-05-23T13:27:48.268,1,52.506,719.474,20.9,0.249,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000276,0.00074
6.119,2026-05-23T13:27:48.268,2,697.582,150.724,22.028,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.00033,0.000884
6.119,2026-05-23T13:27:48.268,3,50.271,823.249,10.279,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.000246,0.000659
11.326,2026-05-23T13:27:53.560,1,52.534,699.891,12.46,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.01362,0.036502
11.326,2026-05-23T13:27:53.560,2,698.511,192.865,30.0,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.019941,0.053442
11.326,2026-05-23T13:27:53.560,3,40.372,847.636,22.194,0.7981,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.017507,0.046919
12.371,2026-05-23T13:27:54.520,1,52.992,696.619,10.579,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000267,0.000716
12.371,2026-05-23T13:27:54.520,2,699.363,201.371,30.0,0.052,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000293,0.000785
12.371,2026-05-23T13:27:54.520,3,34.773,849.679,23.42,-0.1499,0.0,GOING_TO_ENDPOINT,dump_zone_19,load_zone_22,0.000271,0.000726
