sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
2.034,2026-05-23T13:40:09.945,1,50.232,735.869,7.322,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.006793,0.018205
2.034,2026-05-23T13:40:09.945,2,499.904,634.136,7.322,1.0,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.006793,0.018205
2.034,2026-05-23T13:40:09.945,3,700.374,365.88,7.322,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.006793,0.018205
3.1,2026-05-23T13:40:10.959,1,50.85,733.183,11.16,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000278,0.000745
3.1,2026-05-23T13:40:10.959,2,499.081,636.697,10.864,0.687,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000266,0.000713
3.1,2026-05-23T13:40:10.959,3,700.881,363.163,11.16,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000278,0.000745
4.676,2026-05-23T13:40:12.596,1,51.899,726.392,16.834,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.004636,0.012424
4.676,2026-05-23T13:40:12.596,2,495.783,639.319,9.282,-0.5,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.003678,0.009857
4.676,2026-05-23T13:40:12.596,3,702.757,356.544,16.834,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.004636,0.012424
5.684,2026-05-23T13:40:13.543,1,52.441,721.242,19.726,0.4656,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000193,0.000517
5.684,2026-05-23T13:40:13.543,2,494.144,640.935,7.467,-0.5,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000165,0.000442
5.684,2026-05-23T13:40:13.543,3,702.857,351.341,20.462,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000217,0.000582
6.688,2026-05-23T13:40:14.548,1,52.512,715.691,19.51,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,4.8e-05,0.000129
6.688,2026-05-23T13:40:14.548,2,493.634,642.672,5.825,-0.401,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,4.8e-05,0.000129
6.688,2026-05-23T13:40:14.548,3,702.55,345.113,24.077,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,6.6e-05,0.000177
7.744,2026-05-23T13:40:15.604,1,52.501,710.261,17.609,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000201,0.000539
7.744,2026-05-23T13:40:15.604,2,493.829,644.163,5.033,0.242,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000207,0.000555
7.744,2026-05-23T13:40:15.604,3,702.499,337.472,27.696,0.705,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000266,0.000713
8.814,2026-05-23T13:40:16.674,1,52.498,705.328,15.683,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000225,0.000603
8.814,2026-05-23T13:40:16.674,2,494.515,645.663,6.05,0.222,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000232,0.000622
8.814,2026-05-23T13:40:16.674,3,702.499,329.054,28.243,-0.365,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000225,0.000603
9.817,2026-05-23T13:40:17.740,1,52.513,701.223,13.878,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,5.1e-05,0.000137
9.817,2026-05-23T13:40:17.740,2,495.128,647.289,5.966,-0.3621,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,5.1e-05,0.000137
9.817,2026-05-23T13:40:17.740,3,702.507,321.444,26.458,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,5.1e-05,0.000137
10.856,2026-05-23T13:40:18.715,1,52.858,697.527,12.007,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000291,0.00078
10.856,2026-05-23T13:40:18.715,2,495.678,648.716,4.981,-0.1311,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000292,0.000783
10.856,2026-05-23T13:40:18.715,3,703.712,314.285,24.588,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000291,0.00078
11.921,2026-05-23T13:40:19.781,1,53.811,694.347,10.759,-0.248,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000228,0.000611
11.921,2026-05-23T13:40:19.781,2,496.689,649.994,6.662,0.9339,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.00025,0.00067
11.921,2026-05-23T13:40:19.781,3,702.099,307.794,22.671,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000228,0.000611
12.925,2026-05-23T13:40:20.871,1,55.023,691.778,9.91,0.064,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,5.3e-05,0.000142
12.925,2026-05-23T13:40:20.871,2,498.855,650.941,10.272,1.0,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,5.9e-05,0.000158
12.925,2026-05-23T13:40:20.871,3,700.902,302.067,20.863,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,5.1e-05,0.000137
13.976,2026-05-23T13:40:21.835,1,56.645,689.077,12.038,0.893,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000274,0.000734
13.976,2026-05-23T13:40:21.835,2,502.229,650.823,12.318,0.048,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000243,0.000651
13.976,2026-05-23T13:40:21.835,3,702.565,296.773,18.972,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.000234,0.000627
14.983,2026-05-23T13:40:22.842,1,58.868,685.964,14.979,0.6534,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000279,0.000748
14.983,2026-05-23T13:40:22.842,2,505.082,648.594,14.298,1.0,0.0,GOING_TO_ENDPOINT,parking_1,load_zone_26,0.000293,0.000785
14.983,2026-05-23T13:40:22.842,3,698.761,293.991,17.159,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_13,load_zone_26,0.00024,0.000643
