sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
1.0,2026-07-02T11:41:14.068,1,700.002,319.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000258,0.000691
1.0,2026-07-02T11:41:14.068,2,50.002,739.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000258,0.000691
1.0,2026-07-02T11:41:14.068,3,-49.998,739.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000258,0.000691
2.0,2026-07-02T11:41:15.647,1,700.15,318.719,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000271,0.000726
2.0,2026-07-02T11:41:15.647,2,50.117,738.713,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000271,0.000726
2.0,2026-07-02T11:41:15.647,3,-49.887,738.713,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000271,0.000726
3.0,2026-07-02T11:41:17.484,1,700.849,316.759,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000285,0.000764
3.0,2026-07-02T11:41:17.484,2,50.606,736.69,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000285,0.000764
3.0,2026-07-02T11:41:17.484,3,-49.387,736.692,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000285,0.000764
4.0,2026-07-02T11:41:19.513,1,701.94,313.884,12.6,0.75,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000289,0.000775
4.0,2026-07-02T11:41:19.513,2,51.452,733.725,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000299,0.000801
4.0,2026-07-02T11:41:19.513,3,-48.554,733.724,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000299,0.000801
5.0,2026-07-02T11:41:20.999,1,702.499,310.239,13.35,-0.25,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.00025,0.00067
5.0,2026-07-02T11:41:20.999,2,52.29,729.733,16.35,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000313,0.000839
5.0,2026-07-02T11:41:20.999,3,-47.758,729.723,16.35,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000313,0.000839
6.0,2026-07-02T11:41:23.155,1,702.536,306.782,11.625,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.00025,0.00067
6.0,2026-07-02T11:41:23.155,2,52.516,724.753,18.825,0.25,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000277,0.000742
6.0,2026-07-02T11:41:23.155,3,-47.492,724.688,19.475,0.5833,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000299,0.000801
7.0,2026-07-02T11:41:25.065,1,702.509,303.824,9.825,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.00025,0.00067
7.0,2026-07-02T11:41:25.065,2,52.505,719.593,17.925,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
7.0,2026-07-02T11:41:25.065,3,-47.496,719.173,19.625,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
8.0,2026-07-02T11:41:27.056,1,702.437,301.367,8.05,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.00025,0.00067
8.0,2026-07-02T11:41:27.056,2,52.5,714.866,16.25,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
8.0,2026-07-02T11:41:27.056,3,-47.5,713.993,17.825,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
9.0,2026-07-02T11:41:28.884,1,701.772,299.415,7.45,0.25,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000261,0.000699
9.0,2026-07-02T11:41:28.884,2,52.5,710.565,14.799,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
9.0,2026-07-02T11:41:28.884,3,-47.5,709.294,16.125,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
10.0,2026-07-02T11:41:30.662,1,700.029,297.934,8.9,0.0833,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000258,0.000691
10.0,2026-07-02T11:41:30.662,2,52.5,706.718,13.1,-0.489,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
10.0,2026-07-02T11:41:30.662,3,-47.502,705.08,14.429,-0.4256,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
11.0,2026-07-02T11:41:32.224,1,697.761,297.456,7.775,-0.25,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.00025,0.00067
11.0,2026-07-02T11:41:32.224,2,52.498,703.302,11.95,-0.0833,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000254,0.000681
11.0,2026-07-02T11:41:32.224,3,-47.49,701.343,12.629,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
12.0,2026-07-02T11:41:33.624,1,695.527,297.395,8.825,0.75,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000277,0.000742
12.0,2026-07-02T11:41:33.624,2,52.555,700.191,10.4,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
12.0,2026-07-02T11:41:33.624,3,-47.303,698.112,10.829,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00025,0.00067
