sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
1.0,2026-07-02T11:58:11.229,1,650.002,319.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000258,0.000691
1.0,2026-07-02T11:58:11.229,2,250.002,739.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000258,0.000691
1.0,2026-07-02T11:58:11.229,3,50.002,739.789,1.95,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000258,0.000691
2.0,2026-07-02T11:58:13.339,1,650.153,318.719,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000271,0.000726
2.0,2026-07-02T11:58:13.339,2,250.122,738.714,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000271,0.000726
2.0,2026-07-02T11:58:13.339,3,50.117,738.713,5.55,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000271,0.000726
3.0,2026-07-02T11:58:15.533,1,650.891,316.773,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000285,0.000764
3.0,2026-07-02T11:58:15.533,2,250.666,736.704,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000285,0.000764
3.0,2026-07-02T11:58:15.533,3,50.642,736.699,9.15,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000285,0.000764
4.0,2026-07-02T11:58:17.778,1,651.975,313.892,12.725,0.9167,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000296,0.000793
4.0,2026-07-02T11:58:17.778,2,251.517,733.741,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000299,0.000801
4.0,2026-07-02T11:58:17.778,3,51.479,733.732,12.75,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000299,0.000801
5.0,2026-07-02T11:58:20.184,1,652.483,310.113,14.075,-0.0833,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000255,0.000683
5.0,2026-07-02T11:58:20.184,2,252.294,729.738,16.35,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000313,0.000839
5.0,2026-07-02T11:58:20.184,3,52.278,729.731,16.35,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000313,0.000839
6.0,2026-07-02T11:58:22.411,1,652.524,306.411,12.525,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
6.0,2026-07-02T11:58:22.411,2,252.501,724.733,19.167,0.4945,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.000293,0.000785
6.0,2026-07-02T11:58:22.411,3,52.514,724.705,19.25,0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.000288,0.000772
7.0,2026-07-02T11:58:24.008,1,652.507,303.202,10.725,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
7.0,2026-07-02T11:58:24.008,2,252.505,719.352,18.998,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
7.0,2026-07-02T11:58:24.008,3,52.506,719.342,18.825,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
8.0,2026-07-02T11:58:26.064,1,652.262,300.515,8.95,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
8.0,2026-07-02T11:58:26.064,2,252.5,714.345,17.198,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
8.0,2026-07-02T11:58:26.064,3,52.5,714.384,17.025,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
9.0,2026-07-02T11:58:28.275,1,650.897,298.511,9.182,0.2024,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000262,0.000702
9.0,2026-07-02T11:58:28.275,2,252.5,709.832,15.472,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
9.0,2026-07-02T11:58:28.275,3,52.5,709.922,15.291,-0.4741,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
10.0,2026-07-02T11:58:30.630,1,648.651,297.576,8.193,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00025,0.00067
10.0,2026-07-02T11:58:30.630,2,252.5,705.786,13.772,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
10.0,2026-07-02T11:58:30.630,3,52.5,705.936,13.59,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
11.0,2026-07-02T11:58:32.450,1,646.394,297.531,8.643,0.5833,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000272,0.000729
11.0,2026-07-02T11:58:32.450,2,252.495,702.229,12.004,-0.4167,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
11.0,2026-07-02T11:58:32.450,3,52.502,702.414,11.96,-0.4717,0.0,GOING_TO_ENDPOINT,dump_zone_15,load_zone_22,0.00025,0.00067
12.0,2026-07-02T11:58:34.568,1,643.524,297.755,11.993,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000296,0.000793
12.0,2026-07-02T11:58:34.568,2,252.378,699.129,10.563,-0.2048,0.0,GOING_TO_ENDPOINT,dump_zone_17,load_zone_22,0.00025,0.00067
