method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
a,0,10000,-283.6,277.91,96.1,6.276,0.7845,3.536,48.8
a,0,20000,-292.69,285.89,93.42,10.594,0.7846,3.536,137.0
a,0,30000,-288.75,284.29,94.23,10.413,0.7845,3.536,231.6
a,0,40000,-289.65,284.33,93.96,12.493,0.7854,3.536,327.8
a,0,50000,-288.44,281.46,94.63,8.897,0.785,3.536,426.4
a,0,60000,-284.74,278.74,94.51,9.362,0.7844,3.536,527.5
a,0,70000,-286.07,277.16,95.78,9.086,0.7853,3.536,628.5
a,0,80000,-284.83,278.24,95.15,8.58,0.7851,3.536,730.4
a,0,90000,-286.58,279.43,95.62,8.516,0.7848,3.536,832.1
a,0,100000,-288.17,280.22,95.38,8.201,0.7844,3.536,934.0
