method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
c,3,10000,-258.18,254.0,104.45,3.701,0.7851,3.536,123.5
c,3,20000,-260.09,258.06,104.34,4.657,0.7844,3.536,271.0
c,3,30000,-272.18,268.94,100.2,3.858,0.7847,3.536,436.8
c,3,40000,-254.7,249.96,107.33,2.671,0.7848,3.536,620.1
c,3,50000,-274.84,270.54,99.33,3.186,0.7836,3.536,822.0
c,3,60000,-271.01,264.98,101.08,3.142,0.785,3.536,1041.3
c,3,70000,-255.71,250.81,105.5,3.41,0.7852,3.536,1269.4
c,3,80000,-272.33,267.78,99.92,3.065,0.7847,3.536,1497.1
c,3,90000,-266.21,261.28,101.85,5.039,0.7839,3.536,1725.4
c,3,100000,-259.19,254.01,104.78,3.2,0.7846,3.536,1928.1
