method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
a,1,10000,-285.49,279.7,95.64,6.624,0.7843,3.536,51.2
a,1,20000,-287.29,282.9,94.11,10.866,0.7846,3.536,139.7
a,1,30000,-293.91,287.41,92.79,9.751,0.7846,3.536,232.1
a,1,40000,-294.49,288.84,92.46,10.038,0.7845,3.536,328.5
a,1,50000,-292.53,286.97,92.57,11.691,0.7848,3.536,426.4
a,1,60000,-294.13,285.63,93.0,10.107,0.7847,3.536,527.3
a,1,70000,-288.78,282.68,94.31,9.858,0.7842,3.536,629.0
a,1,80000,-285.1,278.75,96.2,10.169,0.7846,3.536,731.6
a,1,90000,-283.75,277.49,96.03,11.084,0.7845,3.536,833.7
a,1,100000,-280.73,275.19,96.36,8.771,0.7842,3.536,935.6
