method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
c,1,10000,-274.4,268.26,100.09,4.56,0.7845,3.536,123.4
c,1,20000,-272.04,267.37,99.46,3.419,0.7847,3.536,272.1
c,1,30000,-270.76,267.2,100.01,3.772,0.7846,3.536,438.3
c,1,40000,-266.72,263.43,101.41,4.275,0.7847,3.536,623.4
c,1,50000,-266.57,261.78,101.73,3.468,0.7844,3.536,825.0
c,1,60000,-263.2,258.39,102.81,3.551,0.7844,3.536,1045.0
c,1,70000,-272.13,266.23,100.44,3.42,0.7848,3.536,1272.3
c,1,80000,-276.84,272.57,99.42,3.284,0.7843,3.536,1501.4
c,1,90000,-262.79,256.12,103.36,4.376,0.7854,3.536,1729.7
c,1,100000,-269.09,262.86,101.88,3.905,0.7855,3.536,1931.9
