method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
a,4,10000,-288.27,282.45,94.85,8.347,0.7839,3.536,48.3
a,4,20000,-286.74,282.36,94.16,9.971,0.7845,3.536,136.4
a,4,30000,-293.54,288.55,92.01,11.174,0.7838,3.536,227.9
a,4,40000,-289.24,284.16,93.81,10.903,0.7847,3.536,323.2
a,4,50000,-289.61,283.12,93.94,10.294,0.7845,3.536,421.4
a,4,60000,-294.65,287.96,92.99,12.135,0.7843,3.536,520.5
a,4,70000,-285.34,278.43,95.88,8.673,0.7847,3.536,621.2
a,4,80000,-286.3,281.15,94.69,10.654,0.7847,3.536,722.9
a,4,90000,-287.37,281.77,94.91,10.386,0.785,3.536,824.1
a,4,100000,-282.93,277.84,95.68,8.185,0.7845,3.536,926.2
