method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
d,2,10000,-295.64,284.29,94.2,8.092,0.8081,3.536,90.2
d,2,20000,-280.96,271.72,98.01,5.84,0.7911,3.536,192.4
d,2,30000,-289.01,280.03,95.28,7.205,0.7977,3.536,296.2
d,2,40000,-290.67,280.84,95.24,5.95,0.8016,3.536,401.9
d,2,50000,-292.46,284.14,94.17,6.936,0.7905,3.536,510.6
d,2,60000,-283.03,274.11,97.42,6.856,0.7913,3.536,620.7
d,2,70000,-284.06,274.37,97.21,5.604,0.7931,3.536,731.9
d,2,80000,-282.68,273.02,97.6,5.602,0.7925,3.536,842.3
d,2,90000,-275.12,264.04,100.55,4.799,0.7914,3.536,954.4
d,2,100000,-269.99,261.88,102.27,3.686,0.7922,3.536,1063.4
