method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
d,0,10000,-279.92,275.43,98.68,7.468,0.7999,3.536,89.6
d,0,20000,-291.61,281.35,95.16,7.011,0.7938,3.536,189.6
d,0,30000,-271.42,267.58,100.87,5.538,0.7864,3.536,292.2
d,0,40000,-282.11,273.92,97.82,7.952,0.7895,3.536,395.6
d,0,50000,-276.16,268.59,99.94,7.035,0.791,3.536,502.3
d,0,60000,-278.91,268.75,99.21,6.572,0.7893,3.536,611.1
d,0,70000,-267.14,258.94,102.0,4.684,0.7883,3.536,721.5
d,0,80000,-273.72,263.89,100.21,6.164,0.7886,3.536,831.5
d,0,90000,-272.72,264.06,99.99,4.564,0.7924,3.536,942.5
d,0,100000,-277.17,265.84,99.75,5.191,0.7915,3.536,1053.4
