method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
d,1,10000,-288.19,282.04,94.23,10.292,0.7888,3.536,90.2
d,1,20000,-273.59,266.69,100.4,6.906,0.7883,3.536,192.4
d,1,30000,-282.39,273.11,97.92,9.426,0.7867,3.536,295.5
d,1,40000,-286.22,278.02,96.87,6.181,0.7931,3.536,400.4
d,1,50000,-286.05,277.76,96.83,6.963,0.7926,3.536,507.5
d,1,60000,-293.15,283.89,94.21,9.619,0.7954,3.536,617.5
d,1,70000,-279.14,271.49,97.97,8.738,0.7888,3.536,728.8
d,1,80000,-271.21,261.86,100.75,6.357,0.7908,3.536,839.5
d,1,90000,-282.52,273.67,98.08,9.706,0.7885,3.536,950.9
d,1,100000,-277.56,265.87,98.98,7.02,0.794,3.536,1061.1
