method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
b,0,10000,-284.69,277.69,96.88,8.783,0.7845,3.536,92.4
b,0,20000,-273.94,267.27,100.54,5.789,0.7851,3.536,193.5
b,0,30000,-272.24,265.24,100.81,7.145,0.7849,3.536,296.7
b,0,40000,-266.78,260.11,102.71,5.536,0.7838,3.536,403.0
b,0,50000,-266.27,259.41,102.77,6.927,0.785,3.536,511.0
b,0,60000,-276.29,268.13,99.95,7.556,0.785,3.536,621.7
b,0,70000,-278.55,266.73,99.72,7.964,0.7842,3.536,733.0
b,0,80000,-274.56,261.98,101.43,6.593,0.7839,3.536,845.6
b,0,90000,-268.7,258.67,102.64,4.973,0.7846,3.536,957.1
b,0,100000,-269.73,261.28,102.33,4.126,0.7842,3.536,1067.5
