method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
b,4,10000,-272.94,266.41,100.3,4.835,0.7848,3.536,91.4
b,4,20000,-287.75,280.93,95.43,7.393,0.7845,3.536,193.7
b,4,30000,-284.9,277.02,96.42,7.709,0.7846,3.536,297.7
b,4,40000,-281.91,274.32,98.35,7.919,0.7843,3.536,402.4
b,4,50000,-278.4,268.86,98.3,7.589,0.7847,3.536,510.7
b,4,60000,-283.71,273.37,98.0,7.698,0.7841,3.536,621.1
b,4,70000,-293.07,278.67,95.01,8.893,0.7855,3.536,732.7
b,4,80000,-284.73,273.35,97.73,9.324,0.7837,3.536,842.8
b,4,90000,-285.73,271.69,98.14,5.827,0.785,3.536,953.3
b,4,100000,-287.46,273.8,97.93,5.627,0.7847,3.536,1064.5
