method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
b,2,10000,-292.96,288.63,93.47,6.953,0.7854,3.536,91.3
b,2,20000,-276.71,266.88,100.51,5.496,0.7844,3.536,193.0
b,2,30000,-268.39,260.54,101.48,5.639,0.7856,3.536,296.2
b,2,40000,-275.8,267.87,99.73,5.575,0.7855,3.536,402.3
b,2,50000,-269.39,262.12,101.49,5.458,0.7844,3.536,510.4
b,2,60000,-278.43,271.13,98.96,5.844,0.7842,3.536,620.5
b,2,70000,-270.35,261.49,103.07,5.403,0.7846,3.536,731.4
b,2,80000,-272.58,265.93,101.07,6.292,0.7844,3.536,843.8
b,2,90000,-274.26,264.91,99.63,4.612,0.7844,3.536,955.5
b,2,100000,-273.49,263.61,101.0,5.559,0.785,3.536,1067.0
