method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
a,2,10000,-286.16,280.79,95.37,7.51,0.7846,3.536,50.1
a,2,20000,-289.37,284.68,93.29,11.381,0.7845,3.536,138.8
a,2,30000,-292.1,285.73,93.07,9.228,0.7849,3.536,231.6
a,2,40000,-290.91,285.61,93.65,11.078,0.7847,3.536,328.5
a,2,50000,-287.23,282.3,94.27,10.484,0.7844,3.536,428.0
a,2,60000,-289.59,284.41,93.83,11.327,0.7845,3.536,528.2
a,2,70000,-287.95,282.0,94.45,11.143,0.7842,3.536,630.0
a,2,80000,-284.7,277.7,95.44,9.644,0.7844,3.536,731.6
a,2,90000,-281.08,275.08,96.29,9.025,0.7849,3.536,833.7
a,2,100000,-284.68,278.82,94.84,10.823,0.7845,3.536,935.8
