method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
c,0,10000,-264.89,258.46,103.26,3.55,0.7837,3.536,127.1
c,0,20000,-260.23,255.42,104.34,3.299,0.7847,3.536,276.2
c,0,30000,-266.07,261.81,102.71,4.344,0.7848,3.536,443.8
c,0,40000,-271.36,266.63,101.03,3.864,0.7841,3.536,628.2
c,0,50000,-265.39,259.07,102.27,4.442,0.785,3.536,829.8
c,0,60000,-274.33,272.69,97.65,4.15,0.7847,3.536,1048.8
c,0,70000,-274.41,268.86,99.2,4.659,0.7845,3.536,1277.4
c,0,80000,-265.43,260.34,102.44,3.377,0.7843,3.536,1508.3
c,0,90000,-272.72,268.51,100.49,3.447,0.7846,3.536,1736.4
c,0,100000,-274.51,269.52,99.81,3.309,0.7845,3.536,1966.3
