method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
d,3,10000,-280.99,274.16,97.98,7.385,0.7941,3.536,89.4
d,3,20000,-282.39,274.35,98.89,5.417,0.7925,3.536,190.8
d,3,30000,-293.27,287.66,92.75,8.429,0.8036,3.536,294.5
d,3,40000,-280.56,274.29,97.74,5.981,0.7972,3.536,400.4
d,3,50000,-292.2,281.53,95.55,6.433,0.8031,3.536,509.5
d,3,60000,-293.63,280.66,94.96,7.099,0.8028,3.536,619.5
d,3,70000,-282.16,273.8,97.76,5.017,0.7999,3.536,730.1
d,3,80000,-282.35,271.26,98.73,5.827,0.7972,3.536,829.8
d,3,90000,-268.93,260.77,102.24,5.559,0.7866,3.536,888.1
d,3,100000,-269.8,260.35,102.97,3.671,0.7876,3.536,918.2
