method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
b,1,10000,-292.74,286.57,93.46,11.076,0.7845,3.536,92.1
b,1,20000,-274.07,266.79,101.31,7.255,0.785,3.536,193.9
b,1,30000,-267.6,261.74,102.95,5.084,0.7842,3.536,297.5
b,1,40000,-270.74,263.15,101.98,5.158,0.7838,3.536,403.6
b,1,50000,-272.75,267.6,100.95,7.85,0.7848,3.536,512.1
b,1,60000,-279.51,269.93,99.75,9.122,0.7846,3.536,622.5
b,1,70000,-279.77,271.07,98.36,6.406,0.7839,3.536,733.7
b,1,80000,-276.7,267.93,100.08,5.147,0.7836,3.536,844.9
b,1,90000,-272.77,263.35,100.8,4.576,0.785,3.536,955.7
b,1,100000,-270.1,260.18,101.94,4.185,0.7846,3.536,1065.8
