method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
c,4,10000,-265.19,258.97,103.0,3.908,0.7851,3.536,124.6
c,4,20000,-261.6,255.27,103.88,3.814,0.7849,3.536,271.9
c,4,30000,-273.05,267.56,99.79,4.036,0.7847,3.536,438.2
c,4,40000,-263.4,258.67,103.37,4.123,0.7847,3.536,622.5
c,4,50000,-265.0,260.52,102.1,3.356,0.7845,3.536,823.5
c,4,60000,-274.16,269.09,98.66,4.321,0.7841,3.536,1041.9
c,4,70000,-267.98,262.86,101.39,4.3,0.7847,3.536,1270.8
c,4,80000,-269.31,262.3,101.56,3.482,0.7847,3.536,1499.6
c,4,90000,-270.68,265.33,100.74,3.943,0.7845,3.536,1726.6
c,4,100000,-270.4,264.68,100.45,3.389,0.7844,3.536,1928.2
