sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
193.607,2026-05-23T13:40:58.719,ARRIVE_LOAD_ZONE,3,load_zone_26,0.0,10000.0,
197.022,2026-05-23T13:40:59.432,LOAD_COMPLETE,3,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.6257
202.537,2026-05-23T13:41:00.497,DEPART_LOAD_ZONE,3,dump_zone_3,1000.0,unlimited,session_fuel_L=0.6426|session_co2_kg=1.722288
205.742,2026-05-23T13:41:01.171,ARRIVE_LOAD_ZONE,1,load_zone_22,0.0,10000.0,
209.202,2026-05-23T13:41:01.845,LOAD_COMPLETE,1,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.6582
214.712,2026-05-23T13:41:02.925,DEPART_LOAD_ZONE,1,dump_zone_22,1000.0,unlimited,session_fuel_L=0.6752|session_co2_kg=1.809508
256.347,2026-05-23T13:41:11.221,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,9000.0,
259.772,2026-05-23T13:41:11.938,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.8263
265.717,2026-05-23T13:41:13.119,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=0.8446|session_co2_kg=2.26351
367.157,2026-05-23T13:41:33.454,ARRIVE_DUMP_ZONE,3,dump_zone_3,1000.0,unlimited,
370.812,2026-05-23T13:41:34.161,UNLOAD_COMPLETE,3,load_zone_26,0.0,8000.0,trip_id=1|trip_duration_s=368.78|trip_fuel_L=1.1871|trip_co2_kg=3.181519
377.122,2026-05-23T13:41:35.415,DEPART_DUMP_ZONE,3,load_zone_26,0.0,8000.0,session_fuel_L=1.2064|session_co2_kg=3.233052
424.592,2026-05-23T13:41:44.913,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
428.082,2026-05-23T13:41:45.618,UNLOAD_COMPLETE,2,load_zone_26,0.0,8000.0,trip_id=1|trip_duration_s=426.05|trip_fuel_L=1.3726|trip_co2_kg=3.678656
434.292,2026-05-23T13:41:46.843,DEPART_DUMP_ZONE,2,load_zone_26,0.0,8000.0,session_fuel_L=1.3915|session_co2_kg=3.729372
510.117,2026-05-23T13:42:02.005,ARRIVE_LOAD_ZONE,3,load_zone_26,0.0,8000.0,
513.652,2026-05-23T13:42:02.731,LOAD_COMPLETE,3,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.4549
519.777,2026-05-23T13:42:03.924,DEPART_LOAD_ZONE,3,dump_zone_3,1000.0,unlimited,session_fuel_L=1.6609|session_co2_kg=4.451217
574.807,2026-05-23T13:42:14.922,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,7000.0,
