sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
105.365,2026-05-23T13:15:12.499,ARRIVE_LOAD_ZONE,3,load_zone_26,0.0,10000.0,
108.417,2026-05-23T13:15:15.547,LOAD_COMPLETE,3,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.351
113.724,2026-05-23T13:15:20.842,DEPART_LOAD_ZONE,3,dump_zone_3,1000.0,unlimited,session_fuel_L=0.3674|session_co2_kg=0.98484
116.148,2026-05-23T13:15:23.213,ARRIVE_LOAD_ZONE,1,load_zone_26,0.0,9000.0,
119.174,2026-05-23T13:15:26.239,LOAD_COMPLETE,1,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.3868
123.23,2026-05-23T13:15:30.308,DEPART_LOAD_ZONE,1,dump_zone_3,1000.0,unlimited,session_fuel_L=0.3993|session_co2_kg=1.07046
160.243,2026-05-23T13:16:07.308,ARRIVE_LOAD_ZONE,2,load_zone_22,0.0,10000.0,
163.311,2026-05-23T13:16:10.376,LOAD_COMPLETE,2,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.5267
164.61,2026-05-23T13:16:11.703,DEPART_LOAD_ZONE,2,dump_zone_22,1000.0,unlimited,session_fuel_L=0.5307|session_co2_kg=1.422735
223.179,2026-05-23T13:17:10.245,ARRIVE_DUMP_ZONE,2,dump_zone_22,1000.0,unlimited,
226.221,2026-05-23T13:17:13.286,UNLOAD_COMPLETE,2,load_zone_22,0.0,9000.0,trip_id=1|trip_duration_s=224.21|trip_fuel_L=0.7306|trip_co2_kg=1.958566
227.393,2026-05-23T13:17:14.487,DEPART_DUMP_ZONE,2,load_zone_22,0.0,9000.0,session_fuel_L=0.7342|session_co2_kg=1.968155
234.573,2026-05-23T13:17:21.638,ARRIVE_DUMP_ZONE,3,dump_zone_3,1000.0,unlimited,
237.644,2026-05-23T13:17:24.709,UNLOAD_COMPLETE,3,load_zone_26,0.0,8000.0,trip_id=1|trip_duration_s=235.63|trip_fuel_L=0.7786|trip_co2_kg=2.087249
